Ad Feelders
Tan Zhenqiang 
Yang Rui
Cao Yang
Luo Qiong
Jing Qiang
Pan Feng
Yao Zhen
Wu Xinyu
Zhiping Zeng 
Cai Ruichu
Chen Yueguo 
Dai Bingtian 
Liu Chen
Lu Meiyu
Su Zhan
Wang Nan
Wang Xiaoli
Ying Shanshan
Zhang Dongxiang
Zhang Jingbo
Zhang Zhenjie 
Zhao Feng
Renee J. Miller
Fei Chiang  
Jiang Du  
Elham Fazli  
Oktie Hassanzadeh  
Patricia Rodr³àguez-Gianolli  
Mohammad Sadoghi  
Flavio Rizzolo  
Ariel Fuxman  
Ken Pu  
Yaron Kanza  
Chul Lee  
Anastasios (Tasos) Kementsietsidis  
Yannis Velegrakis  
Periklis Andritsos  
Kiran Chaudhry  
Ivan N. Popivanov  
Theophanis Tsandilas   
Charlotte Vilarem  
Xin Wang   
Zheng Zhang  
Amrudin Agovic
Soumyadeep Chatterjee
Puja Das
Qiang Fu
Hanhuai Shan
Huahua Wang
Varun Chandola
Roman Briskine
David Arthur
Bahman Bahmani
Aleksandra Korolova
Aneesh Sharma
Gagan Aggarwal
Donald Aingworth
Brian Babcock
Moses Charikar
Chandra Chekuri
Mayur Datar
Michael Goldwasser
Sudipto Guha
Piotr Indyk
David Karger
Krishnaram Kenthapadi
Sanjeev Khanna
Gurmeet Singh Manku
Shubha Nabar
Liadan O'Callaghan
Rina Panigrahy
Steven Phillips
Craig Silverstein
Anthony Man-Cho So
Dilys Thomas
Eric Torng
Sergei Vassilvitskii
Suresh Venkatasubramanian
Ying Xu
An Zhu
Boris Cule
Calin Garboni
Wim Le Page
Michael Mampaey
Adriana Prado
Koen Smets
TrungNghia Vu
Ming Cao
Khalil Al-Hussaeni
Rui Chen
Farkhund Iqbal
Noman Mohammed
Zhun Yu
Mirza A. Ahmed
Nasreen Al-Herz
Abdurrahman Abdul Jalil
Rabeah Alzaidy
Kabi Daghir
Stefan Mutter
Grant Anderson
Richard Kirkby
Roger Clayton
Nripendra Pradhananga
Ben Clelland
Maximilien Sauban
Uwe Dick
Peter Reutemann
Nils Weidmann
Amir Hekmatpour
Timothy L. Bailey
Michael Sussna
Alvaro Monge
William N. Grundy
Bianca Zadrozny
David Kauchak
Doug Turnbull
Zhen Guo
Jian Wang
Lan Nie
Shruti Bhandari
YaoShuang Wang
Baoning Wu
Vinay Goel
Wei Zhang
Kalyan C. Boggavarapu
Kiran K. Komaravolu
David B. Lewanda
David G. Deschenes
Vivek Bhatnagar
Levent Bolelli 
Brian R. Cook
Isaac Councill 
Arnaud ?De Bruyn
Sandip Debnath 
Seyda Ertekin
Hui Han
Xiaonan Lu
S-T. Park
Yves Petinot
Yang Song 
Bingjun Sun
Yang Sun 
Qingzhao Tan
Secil (Ugurel) Onat
Rohit Wagle
Ding Zhou 
Ziming Zhuang
Harrison Hooker Barrett
Maja Pusara 
Serdar Cabuk
Rachel Lomasky
Umaa Rebbapragada
D. Sculley
Craig Codrington
Tim Stough
Carol Lin
Mark Flick
Yuanhui Zhou
Terran Lane
Sean McArthur 
Alan Marchiori
Long Fei
Larry Waldo
Amee Schlosser
Hilmi Ozdoganoglu 
Xiaoli Zhang Fern
James Early 
A. Ghomari
Nacim Ihaddadene
Mehdi Adda
Thierry Urruty
Sylvain Mongy
Younes Hafri
Marinette Bouet
Karima Hadouda
Jean-Baptiste Vidal
Kimseavna Pen
Nacim Ihaddadene
Franck Quillien
Gr¨¦gory Fernandez
Cherif El Asri Mohamed
Ian Savory
Fouad Maaref
Patrick Vincent
Millasseau Jean Francois
Sol D.
Patrick Fargeaud
Pierre Bergues
Marie-Pierre Liotard
Ababsa F.
Boedijardjo, Arnold
Feng Chen
Dos Santos, Ray
Jordan-Brangman, Wendell
Liu, Xutong
Shukla, Manu
Steel, Chad
Yufeng Kou
Jing Dai
Harry H. Zhang
Robert Yan
Jin Huang
Victor S. Sheng
Jeff Taylor
Jianning Wang
Matthew Clifton
Guohua Liang
Chao Luo
Tao Wang
Yuming OU
Dan Luo
Jiarui Ni
Yanchang Zhao
Wanli Chen
Zhenxing Qin
Li Lin
Jiaqi Wang
Longbing Cao
Chunsheng Li
Xiaowei Yan
Qingfeng Chen
Shichao Zhang
Zili Zhang
Yuefeng Li
Yue Xu
Xudong Luo
Jirapun Daengdej
Xiandeng Hu
Minjie Zhang
Wai Keung (Daniel) PUN
Dilip Dand LAPSES
Govind Seshadri
Pramote Luangsirimongkol
Alan Lloyd
Allan Williams
Chalta Lord
Mummoorthy Murugesan
Wei Jiang
Jaideep S. Vaidya
Dijun Luo
Hua Wanf
Hoskere Vinay
Shruti Gopinath
Erik Elmroth
Helen Yun He
Yu-Heng Tseng
Xiaofeng He
Hanchuan Peng
Andreas Mueller
Woo-sun Yang
Edward Omiecinski
Adrian E. Raftery
Ibrahim Kamel
King-Ip Lin
Philip Korn
Byoung-Kee Yi
Leejay Wu
Deepay Chakrabarti
Jia-YuTim Pan
Deepayan Chakrabarti
Ed Chang
Olivier Chapelle
Jan Eichhorn
Christian Walder
Peter Gehler
Chris Clifton
Bruce Croft
Jiwoon Jeon
Victor Lavrenko
Dawn Lawrie
Xiaoyan Li
Xiaoyong Liu
Donald Metzler
Vanessa Murdock
Trevor Strohman
Xing Wei
Yun Zhou
Brian Davison
Dijun Luo
Hua Wanf
Linbin Yu
Miao Zhang
Rahul Singhal
Hoskere Vinay
Shruti Gopinath
Feiping Nie
Erik Elmroth
Helen Yun He
Yu-Heng Tseng
Xiaofeng He
Hanchuan Peng
Andreas Mueller
Woo-sun Yang
Ya Zhang
Martin Ester
Christos Faloutsos
Wei Fan
Jennifer Golbeck
Xian-sheng Hua
David Jensen
Yehuda Koren
Ravi Kumar
John Langford
Ronny Lempel
Wei-Ying Ma
Wolfgang Nejdl
Jan Pedersen
Ramakrishnan Srikant
Masashi Sugiyama
Hugo Zaragoza
Zhi-Hua Zhou
Phuong Dao
Richard Frank
Mohsen Jamali
Gabor Melli
Samaneh Moghaddam
Flavia Moser
Recep Colak 
Byron Gao 
Rong Ge 
Wen Jin 
James Wagner 
Akoglu Leman
Chau Polo
Guo Fan
Kang, U
Li, Lei
McGlohon Mary
Prakash Aditya
 Zhiqiang Bi 
Ibrahim Kamel
King-Ip Lin
Philip Korn
Leskovec Jure
Palmer Chris 
Jia-Yu Pan (link is broken)
Pandit Shashank
Spiros Papadimitriou
Erik Riedel
Jimeng Sun
Hanghang Tong
Byoung-Kee Yi
Leejay Wu
Zhan Yiping
Einat Amitay
Gennady Andrienko
Noboru  Babaguchi
Lars Backstrom
James Bailey
Suhrid Balakrishnan
Krisztian Balog
Judit Bar-Ilan
Behshad Behzadi
Alina  Beygelzimer
Alberto Del  Bimbo
Paolo Boldi
Antoine Bordes
Ulf Brefeld
Erik Buchmann
Wray Buntine
Chris Burges
Deng Cai
Longbing Cao
Yunbo Cao
Carlos Castillo
Raman Chandrasekar
Kamalika Chaudhuri
Nitesh Chawla
Sanjay Chawla
Bee-Chung Chen
Chen Chen
Enhong Chen
Songqing Chen
Weizhu Chen
Zheng Chen
Hong Cheng
James Cheng
Tat-Seng Chua
David Crandall
Bin Cui
Gautum Das
Ian Davidson
Umesh Dayal
Wei Ding
Carlotta Domeniconi
Anlei Dong
Guozhu Dong
Georges Dupret
Frank Eichinger
Tina Eliassi-Rad
Hui Fang
Dennis Fetterly
Marcus Fontoura
Johannes Gehrke
Amol Ghoting
Fosca Giannotti
Vivekanand Gopalkrishnan
Henrik Grosskreutz
Maxim Gurevich
Alex Hauptmann
Xiaofei He
Alexander Hinneburg
Frank Hoeppner
Steven??Chu-Hong
Larry Holder
Chun-Nan Hsu
Jian Hu
Ming Hua
Heng Huang
Jimmy Huang
Benoit  Huet
Shuiwang Ji
Daxin Jiang
Jing Jiang
Rong Jin
Xiaoming Jin
Nitin Jindal
Satyen Kale
Jaap Kamps
Ben Kao
George Karypis
Samuel Kaski
Yiping Ke
Eamonn Keogh
Kristian Kersting
Georgia Koutrika
Peer Kroeger
Rui Kuang
Vipin Kumar
Oren Kurland
Mounia Lalmas
Wai Lam
Hady Lauw
Dongwon Lee
Jiuyong Li
Ming Li
Xiao Li
Ciya Liao
Chih-Jen Lin
Bing Liu
Chao Liu
Nathan Nan Liu
Ning Liu
Tie-Yan Liu
Yan Liu
David Lo
Aurelie Lozano
Chang-Tien Lu
Claudio Lucchese
Ping Luo
Si Luo
Michael Lyu
Dimitris  Margaritas
Cameron Marlow
Frank McSherry
Qiaozhu Mei
Lilyana Mihalkova
Claire  Monteleoni
Wee Keong Ng
Wilfred Ng
Zaiqing Nie
Alexandros Ntoulas
Christopher Olston
Iadh Ounis
Gerd Paass
Jeffrey Junfeng Pan
Sinno JIalin Pan
Srini Parthasarathy
Fabio Pinelli
Benjamin Piwowarski
Ardian Kristanto Poernomo
Kunal Punera
Jiangtao Ren
Stefan Rueping
Tamas Sarlos
Shin'ichi Satoh
Ralf Schenkel
Nicu Sebe
Heng Tao Shen
Jialie Shen
Yi-Dong Shen
Arno Siebes
Edleno Silva de Moura
Fabrizio Silvestri
D Sivakumar
Le Song
Rohini Srihari
Zhong Su
L. Venkata Subramaniam
Jian-Tao Sun
Ah-Hwee Tan
Jie Tang
Yufei Tao
Nikolaj Tatti
Evimaria Terzi
Qi Tian
Yonghong Tian
Kai Ming Ting
Volker Tresp
Grigorios Tsoumakas
Sergei Vassilvitskii
Michalis Vazirgiannis
Jilles Vreeken
Gang Wang
Haifeng Wang
Jianyong Wang
Jingdong Wang
Wei Wang
Xuanhui Wang
Ingmar Weber
Ryen White
Raymond Chi-Wing Wong
XiaoKui Xiao
Xing Xie
Li Xiong
Gu Xu
Guirong Xue
Kenji Yamanishi
jun Yan
Shuicheng Yan
Xifeng Yan
Ying Yang
Dit-Yan Yeung
Jie Yin
Xiaoxin Yin
Shinjae Yoo
Philip Yu
Hongyuan Zha
Kun Zhang
Lei Zhang
Min Zhang
Min-Ling Zhang
Rui Zhang
Shichao Zhang
Ya Zhang
Yi Zhang
Zhenjie Zhang
Elena Zheleva
Dengyong Zhou
Aoying Zhou
Jun Zhu
Shenghuo Zhu
Xingquan Zhu
Aris Anagnostopoulos 
Peter Andreae
 Periklis Andritsos
Ioannis Androulakis
Luiza Antonie
Annalisa Appice
Ira Assent
Vassilis Athitsos
James Bailey
Chris Bailey-Kellogg
Elena Baralis
Rohan Baxter
Tony Bagnall 
Jing Bai
Tanya Berger-Wolf
Michael R. Berthold
Elisa Bertino
Chiranjib Bhattacharyya
Paul Bradley
Michael Burl
Mary Elaine Califf
Juan Pedro Cara?¡ìa-Valente
James Caverlee
Nick Cercone
Keith Chan
Kevin C. Chang
Wanpracha Chaovalitwongse
Arbee L.P. Chen
Lei Chen
Zhiyuan Chen
Yun Chi
Silvia Chiusano
Amanda Clare
Tom Croonenborghs
Alfredo Cuzzocrea
Nilesh Dalvi
Tamraparni Dasu
Jesse Davis
Anne Denton
Alin Dobra
Carlotta Domeniconi
Josep Domingo-Ferrer
Margaret Dunham
Kemal Efe
Christoph F. Eick
Mohammad El-Hajj
Tapio Elomaa
Vladimir Estivill-Castro
Ad Feelders
Ling Feng
Hakan Ferhatosmanoglu
Andrew Foss
Eibe Frank
Takeshi Fukuda
Benjamin C. M. Fung
Efstratios Gallopoulos
Matjaz Gams
Aryya Gangopadhyay
Gemma Garriga
Fosca Giannotti
Attilio Giordana
Ananth Grama
Dennis Groth
Fabrice Guillet
Diansheng Guo
Yike Guo
Marios Hadjieleftheriou
Maria Halkidi
Larry Hall
Robert Hilderman
Shen-Shyang Ho
Jaakko Hollm¨¦n
Se June Hong
Andreas Hotho
Vagelis Hristidis
Minqing Hu
Xiaohua Hu
Eyke Huellermeier
Szymon Jaroszewicz
Christopher Jermaine
Yan Jia
Vanja Josifovski
Konstantinos Kalpakis
Toshihiro Kamishima
Murat Kantarcioglu
Hillol Kargupta
Hiroyuki Kawano
John Keane
Walter Kosters
Petra Kralj Novak
Stefan Kramer
Raghuram Krishnapuram
Deept Kumar
Lotfi Lakhal
Longin Jan Latecki
Anne Laurent
Srivatsan Laxman
Aleksandar Lazarevic
Chengkai Li
Feifei Li
Qi Li
Xiaoli Li
Xue Li
Jessica Lin
Song Lin
Jinze Liu
Ling Liu
Xiaohui Liu
Ashwin Machanavajjhala
Richard Maclin
Masoud Makrehchi
Bradley Malin
Mark Maloof
Giuseppe Manco
Murali Mani
Pedro Jose Marron
Keith Marsolo
Florent Masseglia
Francesco Masulli
Sameep Mehta
Ernestina Menasalvas
Rosa Meo
Silvia Miksch
Prasenjit Mitra
Fabian Moerchen
Tsuyoshi Murata
Mirco Nanni
Svetlozar Nestorov
See-Kiong Ng
Douglass S. Parker
Srinivasan Parthasarathy
Chang-shing Perng
Pascal PONCELET
William Pottenger
Kai Puolamaki
Davood Rafiei
Jan Ramon
Zbigniew Ras
Chotirat Ann Ratanamahatana
Jan Rauch
S.S. Ravi
Chandan Reddy
Christophe Rigotti
Celine Rouveirol
Sourav S Bhowmick
Yucel Saygin
Martin Scholz
QIANG SHEN
Olivia Sheng
Shirish Shevade
Luo Si
Dan Simovici
Lisa Singh
Mike Sips
Krishnamoorthy Sivakumar
Kate Smith-Miles
Min Song
Nandit Soparkar
W. Nick Street
Wojciech Szpankowski
Atsuhiro Takasu
David Taniar
Yannis Theodoridis
Maguelonne Teisseire
Masahiro Terabe
Takao Terano
Alexandre Termier
Vincent S. Tseng
Jeffrey D. Ullman
Jaideep Vaidya
Koen Vanhoof
Vassilios Verykios
Ricardo Vilalta
Jason T. L. Wang
Lipo Wang
Wei Wang
Li Wei
Gary Weiss
Graham Williams
Wensheng Wu
Xindong Wu
Xintao Wu
Zhengzheng Xing
Xiaowei Xu
Katsutoshi Yada
Hui Yang
Ying Yang
Hwanjo Yu
Mohammed Zaki
Carlo Zaniolo
Gerson Zaverucha
Demetris Zeinalipour
Donghui Zhang
Harry Zhang
Ying Zhao
Zijian Zheng
